year,period,index_nsa
2001,3,133.75
2001,4,134.53
2002,1,135.95
2002,2,137.27
2002,3,138.31
2002,4,139.32
2003,1,140.47
2003,2,141.34
2003,3,142.49
2003,4,144.29
2004,1,145.2
2004,2,146.72
2004,3,149.03
2004,4,151.02
2005,1,151.84
2005,2,153.64
2005,3,154.92
2005,4,155.91
2006,1,156.42
2006,2,155.97
2006,3,156.02
2006,4,157.82
2007,1,158.04
2007,2,157.72
2007,3,156.12
2007,4,156.11
2008,1,156.63
2008,2,154.84
2008,3,151.35
2008,4,151.73
2009,1,153.55
2009,2,150.81
2009,3,147.34
2009,4,147.98
2010,1,146.87
2010,2,146.39
2010,3,147.49
2010,4,147.06
2011,1,142.41
2011,2,141.03
2011,3,142.54
2011,4,143.02
2012,1,141.97
2012,2,141.38
2012,3,142.09
2012,4,141.68
2013,1,141.25
2013,2,141.26
2013,3,141.47
2013,4,140.69
2014,1,141.88
2014,2,144.16
2014,3,145.38
2014,4,146.38
2015,1,147.95
2015,2,148.94
2015,3,150.94
2015,4,151.39
2016,1,152
2016,2,154.92
2016,3,157.65
2016,4,157.9
2017,1,159.01
2017,2,163.26
2017,3,165.82
2017,4,166.29
2018,1,169.3
2018,2,172.81
2018,3,174.52
2018,4,175.54
2019,1,178.09
2019,2,181.25
2019,3,184.12
2019,4,185.55
2020,1,188.55
2020,2,190.44
2020,3,194.68
2020,4,198.62
2021,1,202.91
2021,2,212.35
2021,3,223.93
2021,4,229.74
2022,1,238.23
2022,2,255.74
2022,3,259.22
2022,4,258.14
2023,1,263.66
2023,2,274.7
2023,3,280.11
2023,4,281.86
